"item","water","fat","creamy","starch","sweet","sour","bitter","salty","planty","spicy","minty","floral","earthy","ocean","meaty","Europe","Wasia","Easia","SEAsia","SAsia","Mex","Africa","cooking_medium","seasoning","plant","nutseed","animal","carb","mushroom"
"corn",2,0,1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"green_beans",2,0,0,1,1,0,1,0,5,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"peas",2,0,0,2,1,0,1,0,6,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"beans",-5,0,2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"lentils",-5,0,1,3,0,0,2,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"zucchini",3,0,0,1,1,0,3,0,2,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"cucumber",5,0,0,1,1,0,1,0,2,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
"squash",3,0,1,2,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"pumpkin ",3,0,1,4,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"broccoli",1,0,0,0.6,0,0,8,0,9,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"kale",1,0,0,0,0,0,8,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"cauliflower",2,0,0,0.5,0,0,4,0,2,0,0,1,4,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"cabbage",4,0,0,0,1,0.5,4,0,6,0,0,0,3,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"brussels_sprouts",1,0,0,0,0,0,8,0,9,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"lettuce",6,0,0,0,0,0,5,0,6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"iceburg-lettuce",6.5,0,0,0,1,0,5,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"spinach",4,0,1,0,0,0,5,0,9,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
"chard",6,0,1,1,0,0,5,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"rhubarb",6,0,1,1,0,5,8,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"mustard_green",4,0,0,0,0,0,5,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"seaweed",-5,0,0,0,0,0,2,1,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
